,City,Country,Lat,Lng,Hotel_name
0,ostrovnoy,RU,68.05,39.51,
1,mahebourg,MU,-20.41,57.7,Shandrani Beachcomber Resort & Spa
2,qaanaaq,GL,77.48,-69.36,Qaanaaq Hotel
3,zhuhai,CN,40.71,112.04,
4,cape town,ZA,-33.93,18.42,Southern Sun Waterfront Cape Town
5,atuona,PF,-9.8,-139.03,Villa Enata
6,flinders,AU,-34.58,150.85,Shellharbour Resort & Conference Centre
8,tiksi,RU,71.64,128.87,Umka
9,pushkinskiye gory,RU,57.02,28.91,"The recreation center ""Pushkinogorye"""
10,aykhal,RU,65.95,111.51,Hotel Astoria
11,castro,CL,-42.48,-73.76,Hotel Esmeralda
12,avarua,CK,-21.21,-159.78,Paradise Inn
13,saskylakh,RU,71.97,114.09,
14,constitucion,MX,23.99,-104.67,Hotel Posada San Agustin
15,albany,US,42.65,-73.75,Hilton Albany
16,vilyuysk,RU,63.75,121.63,Gostinitsa Viliuisk
17,ushuaia,AR,-54.81,-68.31,Albatros Hotel
18,bambous virieux,MU,-20.34,57.76,Casa Tia Villa
19,kodinsk,RU,58.6,99.18,"Art-Otel' "" Kupecheskiy"""
20,teknaf,BD,20.86,92.31,Magnum Engineering & Construction
21,busselton,AU,-33.64,115.35,Observatory Guest House
22,ambon,FR,47.55,-2.56,Hotel de la Plage - Damgan - Morbihan - Bretagne
23,maragogi,BR,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
24,fallon,US,46.84,-105.12,
25,kantang,TH,7.42,99.52,Reng Ta Chai Boutique HomeStay
26,colonelganj,IN,27.13,81.7,जय मां दुर्गा मंदिर
27,punta arenas,CL,-53.16,-70.91,Hotel Dreams Del Estrecho
28,rikitea,PF,-23.12,-134.97,Pension Maro'i
29,new norfolk,AU,-42.78,147.06,The Shingles Riverside Cottages
31,qingdao,CN,36.09,120.35,Old Observatory Youth Hostel Qingdao
32,port hardy,CA,50.7,-127.42,Airport Inn
33,arman,RU,59.7,150.17,
34,mamakan,RU,57.82,114.02,
35,bethel,US,60.79,-161.76,Long House Hotel Bethel
36,clinton,US,41.84,-90.19,More Stay Inn
37,varhaug,NO,58.61,5.65,Dancenter Gurihuset
38,ayan,TR,40.67,33.6,İç Yenice Köy Konağı
39,mayor pablo lagerenza,PY,-19.93,-60.77,
40,hermanus,ZA,-34.42,19.24,Misty Waves Boutique Hotel
41,torbay,CA,47.66,-52.73,See The Sea
42,yellowknife,CA,62.45,-114.38,The Explorer Hotel
43,kruisfontein,ZA,-34.0,24.73,Oyster Bay House Rental
44,puerto ayora,EC,-0.74,-90.35,Finch Bay Galapagos Hotel
45,rosita,NI,13.92,-84.4,Hotel El Chele Romero
46,beloha,MG,-25.17,45.06,
47,port elizabeth,US,39.31,-74.98,HAMMER RUN
48,port alfred,ZA,-33.59,26.89,The Halyards Hotel
49,garchitorena,PH,13.88,123.7,Site
50,kodiak,US,39.95,-94.76,
51,mar del plata,AR,-46.43,-67.52,Hotel Costanera Del Sur
52,taybad,IR,34.74,60.78,لی پوش jean center
53,cabo san lucas,MX,22.89,-109.91,Hotel Tesoro Los Cabos
54,tiarei,PF,-17.53,-149.33,Le Rocher de Tahiti
55,khatanga,RU,71.98,102.47,"""Khatanga"""
56,pisco,PE,-13.71,-76.2,Hostal San Isidro Oficial
57,kolyvan,RU,55.31,82.74,
58,hofn,IS,64.25,-15.21,Hótel Höfn
59,bontang,ID,0.12,117.47,"Guest House Badak LNG,Bontang,Kaliantan Timur"
60,sault sainte marie,CA,46.49,-84.36,Kewadin Casinos – Sault Ste. Marie
61,zhigansk,RU,66.77,123.37,Gostinichnyy Kompleks Aylgy
62,thompson,CA,55.74,-97.86,Burntwood Hotel
63,pevek,RU,69.7,170.27,Munitsipal'naya Gostinitsa
64,nanortalik,GL,60.14,-45.24,"NTS Rooms, Nanortalik"
65,bilibino,RU,68.06,166.44,Gostinitsa Severyanka
66,dikson,RU,73.51,80.55,
67,hambantota,LK,6.12,81.12,Bungalow 63
68,beja,PT,38.02,-7.87,Pousada Convento Beja
69,fortuna,ES,38.18,-1.13,Balneario de Leana
70,ponta do sol,BR,-20.63,-46.0,Hotel Escarpas do Lago
71,qasigiannguit,GL,68.82,-51.19,
72,butaritari,KI,3.07,172.79,Isles Sunset Lodge
73,virginia beach,US,36.85,-75.98,Hilton Virginia Beach Oceanfront
74,hobyo,SO,5.35,48.53,Osmani Hotel
75,saint george,GR,39.45,22.34,MX PARK KYPARISSOS
76,pontes e lacerda,BR,-15.23,-59.33,Hotel Bressan
77,khor,RU,47.88,134.96,Gostinitsa Deksi
78,crotone,IT,39.09,17.12,Helios Hotel
79,baglung,NP,28.27,83.59,"Hotel Peace Palace, Baglung, Nepal"
80,raglan,NZ,-37.8,174.87,Raglan Sunset Motel
81,jamestown,AU,-33.21,138.6,Jamestown Motel Terraces
